symbol,stage,detail
5PAISA,S1_red_close,-0.42% on the day
AARTISURF,S1_off_high,closed 3.9% off day high
ABMINTLLTD,S1_red_close,-9.99% on the day
ACCENTMIC,S0_series,SM
AETHER,S1_base_short,base 3d — rolling high
AIMTRON,S0_series,SM
AJANTPHARM,S1_base_short,base 1d — rolling high
ALPHA,S0_fund,ETF/index fund
ANAWIL,S0_series,ST
APEXECO,S0_series,ST
ARROWGREEN,S0_series,BE
ATALREAL,S1_base_short,base 1d — rolling high
AVATAR,S0_series,ST
AZAD,S1_base_short,base 1d — rolling high
BBTCL,S1_off_high,closed 3.4% off day high
BI,S0_turnover,Rs 0.9 cr
BIKEWO,S0_series,ST
BOSCHLTD,S1_base_short,base 1d — rolling high
CNL,S1_base_short,base 1d — rolling high
COMSYN,S1_base_short,base 1d — rolling high
CUPID,S1_red_close,-0.63% on the day
DALMIASUG,S1_red_close,-0.81% on the day
DECNGOLD,S1_red_close,-0.03% on the day
DEFENCE,S0_fund,ETF/index fund
DHAMPURSUG,S1_red_close,-0.48% on the day
DIVGIITTS,S1_base_short,base 2d — rolling high
DSKULKARNI,S0_series,BE
DURLAX,S0_series,SM
E2E,S0_series,BE
ELIQUID,S0_fund,ETF/index fund
GLAND,S1_base_short,base 3d — rolling high
HAPPYFORGE,S1_base_short,base 1d — rolling high
HDFCLIQUID,S0_fund,ETF/index fund
HDFCNEXT50,S0_fund,ETF/index fund
HEG,S1_base_short,base 9d — rolling high
HNDFDS,S1_red_close,-1.32% on the day
IMPEXFERRO,S0_series,BZ
INGERRAND,S1_red_close,-0.14% on the day
INVPRECQ,S0_series,BE
IRISDOREME,S1_base_short,base 1d — rolling high
KAMAHOLD,S1_red_close,-1.05% on the day
KANPRPLA,S1_red_close,-3.99% on the day
KENNAMET,S1_red_close,-4.00% on the day
KMEW,S1_off_high,closed 3.2% off day high
KPL,S1_base_short,base 3d — rolling high
LAMOSAIC,S0_series,ST
LEAPIND,S1_red_close,-12.00% on the day
LIQUIDCASE,S0_fund,ETF/index fund
LIQUIDSHRI,S0_fund,ETF/index fund
LMW,S1_base_short,base 1d — rolling high
MAHICKRA,S0_series,SM
MANORAMA,S1_off_high,closed 6.7% off day high
MARINE,S1_off_high,closed 4.1% off day high
MARKSANS,S1_base_short,base 2d — rolling high
METALIC,S0_series,SM
MINDACORP,S1_off_high,closed 6.4% off day high
MONARCH,S1_off_high,closed 4.4% off day high
MONQ50,S0_fund,ETF/index fund
MOREPENLAB,S1_base_short,base 8d — rolling high
MUNJALAU,S1_off_high,closed 3.6% off day high
NELCO,S1_red_close,-2.05% on the day
NETWEB,S1_red_close,-3.36% on the day
NEULANDLAB,S1_base_short,base 7d — rolling high
NURECA,S0_series,BE
OBSCP,S0_series,SM
OMAXE,S1_red_close,-0.27% on the day
OPTIMYSTIX,S0_series,ST
OPTIVALUE,S0_series,ST
PANACHE,S0_series,BE
PAYTM,S1_red_close,-2.82% on the day
PIDILITIND,S1_red_close,-0.18% on the day
PRICOLLTD,S1_base_short,base 2d — rolling high
PROPSHOP,S0_series,ST
RATNAVEER,S1_base_short,base 1d — rolling high
ROLEXRINGS,S1_red_close,-1.66% on the day
ROXHITECH,S0_series,SM
RPEL,S1_base_short,base 1d — rolling high
SALSTEEL,S1_red_close,-4.83% on the day
SANSERA,S1_base_short,base 4d — rolling high
SEDEMAC,S1_base_short,base 1d — rolling high
SEL,S0_series,SM
SGMART,S1_red_close,-1.63% on the day
SHALPAINTS,S0_series,BE
SMALLIETF,S0_fund,ETF/index fund
SMARTLINK,S0_series,BE
SMVD,S0_series,SM
SUNDRMBRAK,S0_series,BE
SUNDRMFAST,S1_red_close,-0.88% on the day
TAMBOLIIN,S0_series,BE
TAURIAN,S0_series,SM
